Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-10-06,Breathless,1960,https://boxd.it/2bx5Uz,4.5,,Chad-Paul Belmondo,,2021-10-05
2021-10-08,Blaise Pascal,1972,https://boxd.it/2bOM7J,4.5,,Silence ma con Cristian de Sica,,2021-10-08
2021-10-09,France,2021,https://boxd.it/2bWUmj,3.5,,Anchorman 2 senza kanye,,2021-10-08
2021-11-08,Days,2020,https://boxd.it/2gFkk3,4,,Annon ❤,,2021-11-07
2021-11-12,The Best Years of Our Lives,1946,https://boxd.it/2hk6np,4.5,,"<i>You're home now, kid.</i>",,2021-11-11
2021-11-23,Mulholland Drive,2001,https://boxd.it/2j56lB,5,Yes,Zitton,,2021-11-22
2021-11-29,"Planes, Trains and Automobiles",1987,https://boxd.it/2k00WZ,3,,Urge il remake con me e Ciavoni di ritorno a Venezia,,2021-11-28
2021-12-13,Don't Look Up,2021,https://boxd.it/2m1bEd,2,,Un po' lungo sto post di Mr Nichilista,,2021-12-12
2021-12-21,No Sudden Move,2021,https://boxd.it/2nrT0n,3.5,,Ciccion mummion,,2021-12-21
2021-12-29,The Beatles: Get Back,2021,https://boxd.it/2pgw0l,4,,Popcorn Wiseman,,2021-12-28
2022-01-10,Targets,1968,https://boxd.it/2sBLWt,4.5,,Pieno di scemi,,2022-01-09
2022-01-16,"Paris, Texas",1984,https://boxd.it/2u8wt7,4.5,,Scala pentayubbica,,2022-01-16
2022-01-17,Detective Story,1951,https://boxd.it/2uiiH5,4,,Profondità di campo nuova categoria porno.,,2022-01-16
2022-01-19,Licorice Pizza,2021,https://boxd.it/2uRi2V,4.5,,Sean Penn sulla moto = io che entro in proiezione stampa con Nostalgia In VHS,,2022-01-18
2022-01-20,Slack Bay,2016,https://boxd.it/2v9ywN,3.5,,Bubububum-topia,,2022-01-20
2022-01-24,Scream,1996,https://boxd.it/2vO6TV,4.5,,"<i>It's the millenium.

Motives are incidental.</i>",,2022-01-23
2022-01-26,It Comes at Night,2017,https://boxd.it/2wkGWP,2,,No ma in che senso?,,2022-01-25
2022-01-28,The Ninth Gate,1999,https://boxd.it/2wHNpp,3.5,,Settimana enigmistica livello expert,,2022-01-28
2022-02-02,The Matrix Resurrections,2021,https://boxd.it/2xHlId,3.5,,Neo incerto se si rimetterà con trinity o se rimarrà simp a vita vero gamer momento,,2022-02-01
2022-02-14,Kimi,2022,https://boxd.it/2zVN4V,3,,Zoe voglio essere il tuo pavimento,,2022-02-14
