Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-17,The Silence of the Sea,1949,https://boxd.it/15DlcX,3.5,,,2020-04-16
2020-04-18,Mothra vs. Godzilla,1964,https://boxd.it/15JsmR,3.5,,,2020-04-17
2020-04-18,House,1977,https://boxd.it/15K6lf,4,,,2020-04-17
2020-04-19,The Asphalt Jungle,1950,https://boxd.it/15S5p7,4.5,,,2020-04-18
2020-04-19,Medium Cool,1969,https://boxd.it/15TqdX,4,,,2020-04-19
2020-04-20,Catchfire,1990,https://boxd.it/161LTV,3.5,,,2020-04-19
2020-04-21,Bad Trip,2021,https://boxd.it/169kjR,3.5,,,2020-04-20
2020-04-21,Walkabout,1971,https://boxd.it/16aeXN,4,,,2020-04-21
2020-04-22,"Suddenly, Last Summer",1959,https://boxd.it/16gkvn,4.5,,,2020-04-21
2020-04-22,"Live Like a Cop, Die Like a Man",1976,https://boxd.it/16haGd,3,,,2020-04-22
2020-04-23,Fat City,1972,https://boxd.it/16nlMX,4.5,,,2020-04-22
2020-04-24,Serial Rapist,1978,https://boxd.it/16uYYx,3.5,,,2020-04-24
2020-04-24,Visit,2020,https://boxd.it/16xIDp,2.5,,,2020-04-24
2020-04-25,Dodes'ka-den,1970,https://boxd.it/16CaKV,4,,,2020-04-25
2020-04-26,A Star Is Born,1954,https://boxd.it/16IuR5,5,,,2020-04-25
2020-04-26,Invasion of Astro-Monster,1965,https://boxd.it/16O51P,3.5,,,2020-04-26
2020-04-27,"Ebirah, Horror of the Deep",1966,https://boxd.it/16Qx1x,3,,,2020-04-26
2020-04-27,Days of Eclipse,1988,https://boxd.it/16SIGP,3.5,,,2020-04-27
2020-04-28,Son of Godzilla,1967,https://boxd.it/16ZbFD,3.5,,,2020-04-27
2020-04-28,Aliens,2017,https://boxd.it/16ZMZ1,3.5,,,2020-04-27
2020-04-28,Beastie Boys Story,2020,https://boxd.it/170Cq3,3.5,,,2020-04-27
2020-04-28,Megacities,1998,https://boxd.it/171tbZ,4,,,2020-04-28
2020-04-29,Destroy All Monsters,1968,https://boxd.it/176C7n,3,,,2020-04-28
2020-04-29,5 Fingers,1952,https://boxd.it/177n3x,4,,,2020-04-28
2020-04-30,King: A Filmed Record... Montgomery to Memphis,1970,https://boxd.it/17f2pX,4,,,2020-04-29
2020-05-01,Beauty and the Beast,1946,https://boxd.it/17mamB,4,,,2020-04-30
2020-05-02,Charade,1963,https://boxd.it/17tMjf,3.5,,,2020-05-01
2020-05-03,Reds,1981,https://boxd.it/17DGF5,3,,,2020-05-03
2020-05-04,Prizzi's Honor,1985,https://boxd.it/17IGI9,3.5,,,2020-05-03
2020-05-04,Shadows,1959,https://boxd.it/17JRQF,4,,,2020-05-03
2020-05-05,Paranoid Park,2007,https://boxd.it/17SX09,5,,,2020-05-04
2020-05-05,Dick Tracy,1990,https://boxd.it/17U83P,3.5,,,2020-05-05
2020-05-06,Too Late Blues,1961,https://boxd.it/180IzJ,4,,,2020-05-06
2020-05-07,The Mist,2007,https://boxd.it/186yC1,4,,,2020-05-06
2020-05-07,A Child Is Waiting,1963,https://boxd.it/187DG5,3.5,,,2020-05-07
2020-05-08,Faces,1968,https://boxd.it/18ervX,4,,,2020-05-08
2020-05-09,The Barefoot Contessa,1954,https://boxd.it/18kVIz,4,,,2020-05-08
2020-05-09,Godzilla vs. Hedorah,1971,https://boxd.it/18pk1j,4,,,2020-05-09
2020-05-10,The Blood of a Poet,1932,https://boxd.it/18rVzh,4,,,2020-05-09
2020-05-10,Orpheus,1950,https://boxd.it/18sORb,4,,,2020-05-10
2020-05-10,Fires Were Started,1943,https://boxd.it/18tur5,3.5,,,2020-05-10
2020-05-11,The Night of the Hunter,1955,https://boxd.it/18AMIn,5,,,2020-05-10
2020-05-11,Le Pont du Nord,1981,https://boxd.it/18C50B,4,,,2020-05-11
2020-05-12,Testament of Orpheus,1960,https://boxd.it/18IpK7,4.5,,,2020-05-11
2020-05-12,"Help Me, Eros",2007,https://boxd.it/18JqdZ,4.5,,,2020-05-12
2020-05-13,Paradise Hills,2019,https://boxd.it/18PI2n,2.5,,,2020-05-12
2020-05-14,"Muriel, or the Time of Return",1963,https://boxd.it/18WAAb,4,,,2020-05-13
2020-05-14,Bad Tales,2020,https://boxd.it/18XsDX,3,,,2020-05-14
2020-05-15,Husbands,1970,https://boxd.it/193Ihb,4,,,2020-05-15
2020-05-16,Earth,1930,https://boxd.it/198lA5,4.5,,,2020-05-15
2020-05-16,Wise Blood,1979,https://boxd.it/199GdD,4,,,2020-05-15
2020-05-17,The African Queen,1951,https://boxd.it/19gAmD,4,,,2020-05-16
2020-05-18,Capone,2020,https://boxd.it/19luJ7,3.5,,,2020-05-17
2020-05-18,Ran,1985,https://boxd.it/19mi7x,5,Yes,,2020-05-17
2020-05-18,Attention! Bandits!,1951,https://boxd.it/19phpr,3.5,,,2020-05-18
2020-05-19,The Philadelphia Story,1940,https://boxd.it/19wszh,4,,,2020-05-18
2020-05-20,Minnie and Moskowitz,1971,https://boxd.it/19DP1V,4,,,2020-05-19
2020-05-21,Fire,2015,https://boxd.it/19K0JV,3.5,,,2020-05-20
2020-05-21,Hole in the Sky,2001,https://boxd.it/19KQFr,4,,,2020-05-21
2020-05-22,Trouble Every Day,2001,https://boxd.it/19RiV5,3.5,,,2020-05-22
2020-05-23,The Night of the Iguana,1964,https://boxd.it/19Y07F,4,,,2020-05-23
2020-05-23,Rain On Me,2020,,3,,,2020-05-23
2020-05-24,The Howling,1981,https://boxd.it/1a4BvV,3.5,,,2020-05-23
2020-05-24,Balnearios,2002,https://boxd.it/1a5FTp,4,,,2020-05-24
2020-05-26,Tenet,2020,https://boxd.it/1ajcYt,,,,2020-05-25
2020-05-26,The Misfits,1961,https://boxd.it/1alyeL,4.5,,,2020-05-25
2020-05-27,The Forty-First,1956,https://boxd.it/1atj3z,4,,,2020-05-27
2020-05-28,The Ceremony,1971,https://boxd.it/1azYNl,5,,,2020-05-28
2020-05-29,Amour,2012,https://boxd.it/1aFV6F,4.5,,,2020-05-28
2020-05-29,Selfie,2019,https://boxd.it/1aIRaz,3.5,,,2020-05-28
2020-05-30,Lullaby of the Earth,1976,https://boxd.it/1aM6Kj,3.5,,,2020-05-30
2020-05-31,Antoine and Colette,1962,https://boxd.it/1aRZvX,3.5,,,2020-05-30
2020-05-31,A Woman Under the Influence,1974,https://boxd.it/1aTdRF,5,,,2020-05-31
2020-06-01,The Dead,1987,https://boxd.it/1aZJQV,4,,,2020-05-31
2020-06-02,The Killing of a Chinese Bookie,1976,https://boxd.it/1b6m2d,4,,,2020-06-02
2020-06-03,The Shining,1980,https://boxd.it/1bbTd9,5,Yes,,2020-06-02
2020-06-08,Cosmos,2015,https://boxd.it/1bJuGt,4,,,2020-06-07
2020-06-26,Annihilation,2018,https://boxd.it/1dy4XJ,3.5,,,2020-06-25
2020-06-26,Da 5 Bloods,2020,https://boxd.it/1dy5lr,3.5,,,2020-06-25
2020-06-26,Rumble Fish,1983,https://boxd.it/1dyWrd,4,Yes,,2020-06-25
2020-06-26,Making The Shining,1980,https://boxd.it/1dzb2n,3.5,,,2020-06-25
2020-06-26,Happiness,1998,https://boxd.it/1dzV37,4.5,,,2020-06-26
2020-06-27,I Am a Fugitive from a Chain Gang,1932,https://boxd.it/1dCOMv,4,,,2020-06-26
2020-06-27,Odd Man Out,1947,https://boxd.it/1dET85,4.5,,,2020-06-26
2020-06-28,Jour de fête,1949,https://boxd.it/1dITbr,4,,,2020-06-27
2020-06-28,The King of Staten Island,2020,https://boxd.it/1dLtlL,3.5,,,2020-06-28
2020-06-29,Om Dar-B-Dar,1988,https://boxd.it/1dQnST,4,,,2020-06-28
2020-06-29,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/1dSddZ,3,,,2020-06-28
2020-06-29,Popstar: Never Stop Never Stopping,2016,https://boxd.it/1dVNdH,4,,,2020-06-29
2020-06-30,Cléo from 5 to 7,1962,https://boxd.it/1e2dmH,4.5,,,2020-06-30
2020-07-01,Women Reply,1975,https://boxd.it/1e2jDJ,4,,,2020-06-30
2020-07-07,That Most Important Thing: Love,1975,https://boxd.it/1eIujz,3.5,,,2020-07-07
2020-07-08,Opening Night,1977,https://boxd.it/1eOICH,4,,,2020-07-08
2020-07-09,The New Pope,2020,https://boxd.it/1eSQhP,3.5,,,2020-07-08
2020-07-09,Hamilton,2020,https://boxd.it/1eUPUb,3.5,,,2020-07-09
2020-07-10,They Were Expendable,1945,https://boxd.it/1eYms1,4,,,2020-07-09
2020-07-10,The Way Back,2020,https://boxd.it/1f0ef3,4,,,2020-07-10
2020-07-11,Mute,2018,https://boxd.it/1f4mJD,3,,,2020-07-10
