Date,Name,Year,Letterboxd URI,Rating
2019-09-19,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,4
2019-09-19,Still Recording,2018,https://boxd.it/jGHo,4
2019-09-20,Lost and Beautiful,2015,https://boxd.it/bN8a,4
2019-09-20,"Black Coal, Thin Ice",2014,https://boxd.it/7xaw,4
2019-09-21,Tusk,2014,https://boxd.it/7eoa,3.5
2019-09-21,Last Days,2005,https://boxd.it/28lY,4
2019-09-23,Closeness,2017,https://boxd.it/g7cY,3.5
2019-09-23,We All Loved Each Other So Much,1974,https://boxd.it/XjK,5
2019-09-23,Wasp Network,2019,https://boxd.it/g5qa,2.5
2019-09-23,Il signor Diavolo,2019,https://boxd.it/meF6,2.5
2019-09-23,Behemoth,2015,https://boxd.it/bQqG,4
2019-09-24,The Family,1987,https://boxd.it/XY4,4
2019-09-24,On the Beach at Night Alone,2017,https://boxd.it/fqEK,4
2019-09-25,Dumbo,1941,https://boxd.it/1U2o,3.5
2019-09-26,Alice in Wonderland,1951,https://boxd.it/1Sz6,4
2019-09-26,Pinocchio,1940,https://boxd.it/1V8C,4.5
2019-09-26,Peter Pan,1953,https://boxd.it/1VCC,3
2019-09-27,Cinderella,1950,https://boxd.it/1Uki,3
2019-09-27,Mary and Max,2009,https://boxd.it/1y2m,4
2019-09-27,The Lords of Salem,2012,https://boxd.it/3yDm,4
2019-09-27,Burning,2018,https://boxd.it/hHUa,4
2019-09-29,Apocalypse Now,1979,https://boxd.it/6ZS,5
2019-09-30,The Sword in the Stone,1963,https://boxd.it/1ZdG,4
2019-09-30,Come and See,1985,https://boxd.it/1w9q,5
2019-10-02,Odissea nell'ospizio,2019,https://boxd.it/mHx6,2
2019-10-03,The Rider,2017,https://boxd.it/gazw,3.5
